lat,long,freq
-84.392020000000002,33.875889999999998,2
-84.381739999999994,33.77178,98
-84.398399999999995,33.751489999999997,38
-84.365979999999993,33.666460000000001,7
-84.374089999999995,33.84413,56
-84.498589999999993,33.6982,41
-84.434610000000006,33.763640000000002,28
-84.4011,33.80312,14
-84.383229999999998,33.759740000000001,95
-84.349590000000006,33.702350000000003,17
-84.391249999999999,33.684939999999997,26
-84.369380000000007,33.672049999999999,13
-84.466229999999996,33.751829999999998,28
-84.365319999999997,33.827419999999996,104
-84.492440000000002,33.75188,21
-84.508619999999993,33.679400000000001,14
-84.356300000000005,33.827800000000003,16
-84.396199999999993,33.681660000000001,21
-84.370850000000004,33.753509999999999,64
-84.377009999999999,33.703200000000002,21
-84.320750000000004,33.764060000000001,9
-84.356179999999995,33.846910000000001,14
-84.483819999999994,33.796390000000002,9
-84.481840000000005,33.798279999999998,9
-84.464119999999994,33.701659999999997,11
-84.475049999999996,33.781210000000002,17
-84.522499999999994,33.701799999999999,8
-84.443780000000004,33.741239999999998,33
-84.441090000000003,33.765610000000002,36
-84.359999999999999,33.761209999999998,36
-84.435100000000006,33.828780000000002,9
-84.440659999999994,33.735149999999997,28
-84.338030000000003,33.762419999999999,10
-84.317899999999995,33.753430000000002,8
-84.431070000000005,33.813949999999998,17
-84.355369999999994,33.682899999999997,7
-84.339290000000005,33.736899999999999,13
-84.449190000000002,33.791969999999999,27
-84.381649999999993,33.877879999999998,6
-84.406199999999998,33.702759999999998,8
-84.326620000000005,33.724229999999999,5
-84.462379999999996,33.800730000000001,5
-84.502039999999994,33.683869999999999,21
-84.435119999999998,33.726219999999998,39
-84.292379999999994,33.746780000000001,14
-84.369619999999998,33.767359999999996,26
-84.371610000000004,33.67315,36
-84.38306,33.721469999999997,23
-84.37867,33.782179999999997,82
-84.465739999999997,33.700870000000002,26
-84.457899999999995,33.764789999999998,16
-84.423649999999995,33.764069999999997,25
-84.494169999999997,33.750570000000003,11
-84.419610000000006,33.77158,20
-84.379570000000001,33.875630000000001,13
-84.460149999999999,33.755279999999999,8
-84.483990000000006,33.7532,19
-84.359530000000007,33.776769999999999,20
-84.350549999999998,33.79824,11
-84.486019999999996,33.736269999999998,5
-84.384079999999997,33.661079999999998,16
-84.35812,33.725940000000001,12
-84.492090000000005,33.66921,2
-84.451880000000003,33.820279999999997,25
-84.395830000000004,33.810000000000002,28
-84.388300000000001,33.79007,79
-84.479010000000002,33.800550000000001,14
-84.392409999999998,33.787300000000002,17
-84.471789999999999,33.799390000000002,24
-84.367180000000005,33.65025,14
